strains,gene_edit,spawn_type,spawn_weight,substrate_1,substrate_weight_1,substrate_2,substrate_weight_2,substrate_3,substrate_weight_3,substrate_4,substrate_weight_4,additive_1,additive_2,additive_3,water_absorption,bacteria,Temp_Growtent,Humidity_Growtent,Time_Growtent,CO2_conc,Press_type,Temp_Press,Force_Press,Time_Ovendrying,Temp_Ovendrying,Vacc_Overdrying
zzzzzzzz,0,Oatmeal,93,Rapstraw,56,Vegiplants,217,Straw,67,Grass,202,CaCO,CaSO4,CaCO,0.58,1,27,0.7388330690607785,17,3500,Non-Pressed,75,63,53,70,0.087
xxxxx,1,Oatmeal,61,Grass,66,Grass,255,Hemp,95,Rapstraw,274,cellulose,cellulose,CaSO4,0.57,1,25,0.6804213708652616,8,2000,Hot-Pressed,80,53,17,75,0.018
xxxxx,0,Bulgur,50,Hemp,82,Straw,221,Straw,81,Vegiplants,242,CaSO4,CaCO,cellulose,0.57,1,25,0.9404690744775449,9,4500,Cold-Pressed,75,40,5,70,0.075
zzzzzzzz,0,Bulgur,80,Grass,69,Grass,267,Straw,61,Biertreber,298,CaCO,cellulose,CaCO,0.39,1,19,0.8161065397283664,21,500,Hot-Pressed,70,79,29,80,0.087
yyyyyyy,0,BierTreber,91,Straw,90,Biertreber,235,Vegiplants,90,Vegiplants,266,cellulose,CaCO,CaCO,0.52,1,25,0.9055864969406382,19,1000,Non-Pressed,80,39,41,85,0.066
yyyyyyy,0,Barley,84,Grass,71,Grass,270,Hemp,80,Rapstraw,297,cellulose,CaSO4,CaSO4,0.52,1,21,0.8560710405152441,19,1000,Cold-Pressed,75,50,65,75,0.061
zzzzzzzz,1,Bulgur,91,Vegiplants,78,Grass,200,Grass,58,Biertreber,292,CaCO,cellulose,CaCO,0.47,1,25,0.8036796900402642,14,2000,Cold-Pressed,85,64,29,75,0.054
yyyyyyy,1,Bulgur,81,Hemp,73,Sawdust,202,Vegiplants,98,Biertreber,299,cellulose,cellulose,cellulose,0.37,0,26,0.6644511796611099,24,4500,Non-Pressed,70,52,53,85,0.004
yyyyyyy,0,Buckwheat,64,Hemp,82,Straw,240,Vegiplants,92,Hemp,263,CaCO,cellulose,cellulose,0.31,0,19,0.8499267811645965,16,4500,Hot-Pressed,80,23,29,75,0.021
xxxxx,0,Buckwheat,97,Hemp,65,Hemp,232,Rapstraw,95,Rapstraw,202,CaSO4,CaCO,cellulose,0.41,1,24,0.8771553756652029,17,2500,Cold-Pressed,85,33,65,70,0.027
xxxxx,0,BierTreber,64,Biertreber,56,Biertreber,287,Hemp,80,Grass,259,CaCO,CaSO4,CaCO,0.54,0,21,0.8900033175696362,23,3000,Non-Pressed,85,12,17,70,0.035
yyyyyyy,1,Oatmeal,91,Sawdust,93,Biertreber,285,Vegiplants,52,Grass,214,cellulose,CaSO4,CaCO,0.31,0,27,0.9400451834161768,24,3000,Cold-Pressed,70,46,53,80,0.095
yyyyyyy,1,Barley,85,Biertreber,99,Straw,236,Biertreber,73,Grass,260,CaSO4,CaSO4,cellulose,0.54,0,19,0.6410815884271737,23,500,Cold-Pressed,85,69,5,85,0.002
xxxxx,0,Barley,79,Grass,85,Rapstraw,283,Biertreber,91,Biertreber,238,CaCO,CaCO,CaSO4,0.38,0,19,0.8771834630797182,6,500,Hot-Pressed,85,31,17,85,0.073
xxxxx,0,Barley,68,Rapstraw,68,Straw,206,Biertreber,54,Hemp,285,CaSO4,cellulose,cellulose,0.35,0,28,0.6888754094351741,22,4500,Non-Pressed,85,24,29,80,0.068
zzzzzzzz,0,Barley,79,Grass,67,Straw,246,Hemp,76,Vegiplants,230,CaCO,CaCO,CaCO,0.52,1,25,0.7442881587631734,7,3000,Non-Pressed,75,20,5,80,0.096
yyyyyyy,0,BierTreber,70,Vegiplants,99,Rapstraw,202,Grass,53,Sawdust,272,cellulose,CaSO4,cellulose,0.44,1,25,0.7481473209225562,24,4500,Cold-Pressed,75,46,53,80,0.083
xxxxx,1,Barley,97,Rapstraw,98,Sawdust,256,Rapstraw,76,Straw,262,CaCO,CaCO,CaSO4,0.5,0,25,0.7011247908300913,20,1000,Cold-Pressed,70,38,5,85,0.089
yyyyyyy,1,Buckwheat,53,Straw,68,Grass,277,Sawdust,94,Rapstraw,286,CaSO4,CaSO4,cellulose,0.5,1,22,0.8137335009015344,5,4500,Non-Pressed,80,21,65,70,0.013
zzzzzzzz,1,Barley,52,Rapstraw,84,Hemp,217,Rapstraw,73,Sawdust,210,CaSO4,CaSO4,CaSO4,0.54,1,18,0.6903372772893145,10,4500,Non-Pressed,80,48,65,85,0.042
xxxxx,0,Barley,58,Biertreber,61,Grass,202,Straw,94,Biertreber,270,CaSO4,CaCO,cellulose,0.58,0,26,0.7469301581294803,20,1500,Cold-Pressed,75,22,17,85,0.01
zzzzzzzz,0,Barley,62,Grass,58,Rapstraw,264,Hemp,50,Sawdust,230,CaCO,CaSO4,CaCO,0.31,1,26,0.6806286903057037,14,2000,Non-Pressed,85,11,29,75,0.068
xxxxx,1,Buckwheat,85,Biertreber,62,Hemp,229,Grass,81,Hemp,296,CaSO4,cellulose,cellulose,0.58,0,23,0.7503256238813417,12,3500,Hot-Pressed,80,59,65,75,0.056
yyyyyyy,0,Barley,54,Hemp,84,Sawdust,232,Biertreber,94,Grass,254,CaSO4,CaCO,CaCO,0.34,1,22,0.8412645900958693,18,2000,Cold-Pressed,85,75,17,70,0.093
xxxxx,1,Oatmeal,99,Vegiplants,66,Biertreber,264,Sawdust,53,Vegiplants,289,CaSO4,cellulose,CaCO,0.57,1,22,0.795630268251767,23,3500,Non-Pressed,75,54,53,85,0.003
zzzzzzzz,0,Buckwheat,58,Grass,73,Straw,275,Sawdust,59,Hemp,282,CaCO,CaCO,cellulose,0.42,1,24,0.8163215198454552,10,2500,Cold-Pressed,80,57,29,80,0.058
zzzzzzzz,0,BierTreber,51,Hemp,77,Hemp,244,Hemp,68,Vegiplants,205,CaCO,CaCO,cellulose,0.5,1,19,0.650021381973817,6,3000,Hot-Pressed,80,76,65,70,0.031
yyyyyyy,0,Barley,85,Biertreber,79,Vegiplants,296,Straw,60,Vegiplants,294,CaSO4,CaCO,CaCO,0.38,1,21,0.9413681792440862,22,2500,Non-Pressed,70,23,53,70,0.023
zzzzzzzz,1,Oatmeal,80,Hemp,82,Sawdust,259,Hemp,67,Grass,233,CaSO4,CaSO4,cellulose,0.32,0,24,0.89701842251776,18,3500,Hot-Pressed,85,45,17,75,0.037
xxxxx,0,Barley,63,Sawdust,60,Hemp,247,Grass,68,Sawdust,259,cellulose,CaSO4,cellulose,0.58,0,19,0.6833906454586357,6,4500,Non-Pressed,85,14,65,75,0.023
yyyyyyy,0,Buckwheat,87,Straw,99,Biertreber,260,Grass,70,Straw,232,CaCO,cellulose,CaCO,0.42,1,19,0.605067371892173,15,4500,Non-Pressed,85,34,41,85,0.063
yyyyyyy,1,Oatmeal,90,Straw,72,Straw,277,Rapstraw,73,Biertreber,272,CaSO4,cellulose,CaSO4,0.38,1,19,0.9033415652223783,13,2500,Cold-Pressed,80,66,65,75,0.094
yyyyyyy,0,Oatmeal,58,Sawdust,75,Grass,200,Grass,93,Grass,214,CaSO4,cellulose,CaCO,0.51,0,28,0.8802813894458903,19,4000,Non-Pressed,85,72,53,75,0.076
yyyyyyy,1,Bulgur,55,Hemp,95,Vegiplants,212,Biertreber,84,Hemp,253,CaSO4,cellulose,CaSO4,0.48,0,22,0.6088636469492236,25,1500,Cold-Pressed,70,64,41,85,0.051
yyyyyyy,0,Buckwheat,74,Grass,98,Grass,229,Sawdust,94,Grass,270,cellulose,CaCO,CaCO,0.35,0,22,0.893712875482988,16,3500,Hot-Pressed,75,76,5,80,0.039
yyyyyyy,0,Buckwheat,53,Biertreber,57,Sawdust,239,Grass,82,Vegiplants,245,CaCO,CaCO,CaCO,0.48,1,26,0.8499585710647207,24,4000,Non-Pressed,80,29,41,70,0.023
yyyyyyy,1,Oatmeal,54,Rapstraw,86,Straw,210,Rapstraw,98,Biertreber,210,CaCO,CaCO,cellulose,0.52,0,27,0.6899749376566567,6,1500,Non-Pressed,85,17,5,75,0.05
yyyyyyy,0,Bulgur,96,Hemp,77,Sawdust,239,Straw,68,Biertreber,239,CaCO,cellulose,cellulose,0.35,0,19,0.8298895158955932,23,1000,Cold-Pressed,85,45,29,85,0.094
yyyyyyy,0,Barley,58,Rapstraw,90,Rapstraw,283,Straw,52,Rapstraw,254,cellulose,CaSO4,CaCO,0.5,1,24,0.6029474376016329,13,4000,Cold-Pressed,80,67,17,70,0.038
yyyyyyy,0,BierTreber,87,Sawdust,60,Hemp,231,Grass,64,Sawdust,214,CaCO,CaCO,cellulose,0.51,0,26,0.9133400896070836,19,2500,Hot-Pressed,80,30,41,80,0.091
yyyyyyy,1,Barley,76,Sawdust,93,Rapstraw,259,Straw,77,Biertreber,285,CaSO4,CaSO4,cellulose,0.4,0,23,0.8462935358730619,17,2500,Cold-Pressed,80,64,29,75,0.081
zzzzzzzz,1,Oatmeal,76,Vegiplants,96,Straw,257,Grass,56,Hemp,257,cellulose,cellulose,CaSO4,0.47,0,24,0.8307945973228906,19,500,Cold-Pressed,85,63,17,85,0.08
xxxxx,0,BierTreber,57,Grass,52,Grass,202,Vegiplants,66,Hemp,275,CaCO,CaCO,CaSO4,0.41,1,19,0.7751382068958859,18,1500,Non-Pressed,80,42,5,70,0.079
yyyyyyy,1,Barley,87,Grass,94,Sawdust,232,Grass,57,Biertreber,203,cellulose,CaSO4,cellulose,0.57,1,22,0.6878807147835718,5,500,Cold-Pressed,70,47,65,80,0.051
xxxxx,0,Barley,93,Hemp,68,Rapstraw,251,Straw,59,Sawdust,211,CaSO4,CaCO,CaSO4,0.44,0,20,0.6036394224901589,23,2500,Hot-Pressed,70,78,53,75,0.002
yyyyyyy,0,Buckwheat,100,Biertreber,55,Rapstraw,230,Biertreber,56,Sawdust,288,CaCO,CaCO,CaCO,0.41,1,19,0.7952641108208574,5,3000,Hot-Pressed,70,21,41,80,0.071
zzzzzzzz,0,BierTreber,55,Hemp,52,Biertreber,277,Vegiplants,58,Rapstraw,209,CaCO,CaSO4,CaCO,0.32,1,20,0.8318420799146711,5,2500,Hot-Pressed,70,38,53,70,0.013
xxxxx,1,Bulgur,70,Rapstraw,62,Grass,227,Grass,59,Hemp,206,CaCO,cellulose,CaCO,0.57,0,23,0.9071006551814043,23,2000,Cold-Pressed,80,59,29,70,0.048
yyyyyyy,0,Bulgur,59,Biertreber,60,Vegiplants,250,Straw,97,Rapstraw,276,cellulose,CaSO4,CaCO,0.35,1,26,0.7573733286853678,12,1000,Cold-Pressed,75,17,5,75,0.045
yyyyyyy,0,Oatmeal,82,Biertreber,70,Hemp,285,Hemp,52,Hemp,295,CaSO4,CaCO,CaSO4,0.37,1,27,0.8897376596704076,7,2000,Non-Pressed,75,12,65,70,0.07
zzzzzzzz,0,Buckwheat,80,Straw,99,Grass,261,Vegiplants,81,Vegiplants,247,cellulose,cellulose,CaSO4,0.36,1,25,0.8500447313566848,7,2500,Non-Pressed,80,79,29,85,0.096
zzzzzzzz,0,Oatmeal,100,Grass,70,Rapstraw,220,Hemp,55,Straw,284,CaSO4,cellulose,CaSO4,0.41,1,28,0.6918144981374426,11,2000,Non-Pressed,85,62,17,85,0.061
yyyyyyy,1,BierTreber,88,Rapstraw,74,Vegiplants,242,Vegiplants,98,Sawdust,227,CaCO,CaSO4,cellulose,0.51,1,18,0.7582960969555456,23,3000,Non-Pressed,75,41,29,80,0.061
yyyyyyy,1,BierTreber,82,Straw,70,Vegiplants,280,Straw,65,Sawdust,227,CaSO4,CaCO,CaSO4,0.3,1,28,0.7064549570093426,10,2000,Non-Pressed,75,25,29,80,0.052
yyyyyyy,0,Buckwheat,62,Straw,89,Straw,288,Hemp,56,Vegiplants,288,CaSO4,CaCO,CaSO4,0.47,1,27,0.8473452483496811,20,3500,Non-Pressed,80,25,65,75,0.059
yyyyyyy,0,BierTreber,82,Hemp,99,Grass,211,Hemp,65,Rapstraw,221,CaCO,CaSO4,CaSO4,0.37,0,28,0.7186165513535318,15,3000,Cold-Pressed,85,59,41,85,0.097
zzzzzzzz,0,Bulgur,89,Grass,57,Sawdust,286,Sawdust,81,Vegiplants,233,CaSO4,CaSO4,cellulose,0.54,0,21,0.7287569243329625,5,3000,Cold-Pressed,75,28,53,85,0.052
zzzzzzzz,1,Barley,63,Rapstraw,75,Straw,224,Hemp,61,Biertreber,211,CaSO4,CaCO,CaCO,0.4,0,20,0.9480858568080173,24,1000,Hot-Pressed,85,55,29,75,0.016
xxxxx,1,Oatmeal,89,Straw,95,Grass,269,Straw,56,Hemp,235,CaSO4,CaSO4,CaCO,0.31,0,18,0.7916770666943944,7,1000,Cold-Pressed,80,10,65,80,0.052
yyyyyyy,1,Barley,78,Sawdust,96,Sawdust,287,Vegiplants,86,Biertreber,205,CaSO4,cellulose,cellulose,0.59,1,26,0.8207385186123448,5,2500,Non-Pressed,80,29,65,80,0.035
xxxxx,1,Buckwheat,85,Sawdust,53,Vegiplants,254,Grass,71,Hemp,259,CaCO,CaCO,CaSO4,0.41,0,27,0.7763187670909448,12,500,Non-Pressed,80,26,65,80,0.049
xxxxx,1,Barley,57,Biertreber,73,Sawdust,252,Rapstraw,85,Hemp,286,CaCO,CaSO4,CaCO,0.49,1,28,0.8716693376854796,10,2000,Cold-Pressed,80,54,41,75,0.085
xxxxx,1,Buckwheat,92,Vegiplants,80,Sawdust,256,Straw,75,Biertreber,201,CaCO,CaCO,cellulose,0.36,0,19,0.8897494645291413,18,1000,Hot-Pressed,85,68,53,80,0.066
xxxxx,1,Bulgur,57,Rapstraw,68,Straw,265,Rapstraw,98,Grass,277,CaCO,CaCO,CaSO4,0.41,1,18,0.8693488104412881,20,2500,Cold-Pressed,85,54,17,80,0.074
zzzzzzzz,1,Buckwheat,52,Straw,99,Hemp,283,Hemp,82,Hemp,272,CaCO,CaCO,CaCO,0.51,0,22,0.6766732559617956,5,2000,Non-Pressed,80,24,17,85,0.044
zzzzzzzz,1,Bulgur,55,Straw,83,Rapstraw,220,Grass,100,Grass,206,CaSO4,CaCO,CaSO4,0.47,0,28,0.8565938482132661,11,3500,Non-Pressed,85,78,17,85,0.005
xxxxx,1,Oatmeal,72,Vegiplants,77,Straw,266,Sawdust,91,Biertreber,230,CaSO4,CaSO4,CaCO,0.34,1,25,0.6212085596781366,11,4000,Non-Pressed,85,42,41,75,0.094
xxxxx,1,Bulgur,78,Vegiplants,59,Grass,235,Straw,93,Straw,288,CaSO4,cellulose,CaCO,0.32,0,24,0.6118622635907636,11,2000,Hot-Pressed,75,38,17,75,0.028
zzzzzzzz,1,Buckwheat,81,Biertreber,80,Vegiplants,222,Hemp,71,Grass,217,cellulose,CaSO4,CaSO4,0.48,1,19,0.8480584047567521,17,4500,Cold-Pressed,80,64,41,85,0.026
yyyyyyy,0,Oatmeal,55,Rapstraw,100,Straw,223,Sawdust,51,Biertreber,269,CaCO,CaCO,CaCO,0.52,1,20,0.8184489625628183,16,2500,Non-Pressed,75,44,17,80,0.015
xxxxx,1,BierTreber,73,Sawdust,84,Vegiplants,276,Biertreber,60,Vegiplants,208,CaCO,cellulose,cellulose,0.54,1,20,0.7057910602895587,19,3000,Hot-Pressed,80,54,29,85,0.01
yyyyyyy,1,Barley,81,Hemp,94,Straw,212,Sawdust,58,Sawdust,299,CaCO,CaSO4,CaCO,0.41,0,24,0.8171438045610785,17,3500,Non-Pressed,75,57,41,75,0.066
xxxxx,1,Oatmeal,76,Hemp,69,Vegiplants,202,Straw,67,Grass,235,cellulose,CaSO4,CaCO,0.44,1,26,0.852529176578168,24,1500,Hot-Pressed,80,80,29,70,0.067
zzzzzzzz,1,Bulgur,87,Grass,51,Grass,274,Grass,90,Hemp,230,CaSO4,CaSO4,CaCO,0.45,0,19,0.6824454689135862,16,4500,Non-Pressed,75,69,29,75,0.046
xxxxx,0,Bulgur,95,Sawdust,80,Straw,201,Vegiplants,61,Hemp,243,cellulose,CaCO,cellulose,0.39,1,28,0.6703863675782147,16,1500,Hot-Pressed,80,68,5,75,0.025
yyyyyyy,1,BierTreber,73,Sawdust,61,Hemp,231,Sawdust,84,Sawdust,299,cellulose,CaSO4,CaSO4,0.51,0,22,0.9001366971302045,13,3000,Hot-Pressed,70,31,29,75,0.007
xxxxx,0,Buckwheat,54,Hemp,60,Vegiplants,264,Grass,73,Vegiplants,279,CaSO4,CaSO4,cellulose,0.52,1,19,0.8034109117476833,8,500,Cold-Pressed,70,65,41,85,0.044
xxxxx,0,Oatmeal,94,Rapstraw,70,Grass,267,Rapstraw,90,Sawdust,246,cellulose,CaSO4,CaSO4,0.46,1,20,0.7958744134993703,15,4000,Cold-Pressed,85,54,5,75,0.049
zzzzzzzz,0,Barley,75,Sawdust,76,Grass,295,Biertreber,69,Rapstraw,295,CaSO4,CaCO,CaSO4,0.57,1,25,0.6766919037810575,14,1500,Hot-Pressed,85,72,29,70,0.019
xxxxx,0,Oatmeal,75,Vegiplants,62,Hemp,237,Straw,78,Biertreber,220,cellulose,cellulose,cellulose,0.36,1,20,0.8126644483291511,17,2000,Cold-Pressed,75,34,53,70,0.095
zzzzzzzz,1,Bulgur,65,Hemp,78,Rapstraw,222,Grass,56,Rapstraw,256,CaSO4,CaSO4,CaSO4,0.54,1,26,0.734027432303769,20,2500,Non-Pressed,75,29,53,75,0.019
zzzzzzzz,0,Oatmeal,55,Straw,50,Straw,242,Hemp,87,Biertreber,269,CaCO,cellulose,CaCO,0.55,1,24,0.8682109427837581,9,4000,Non-Pressed,75,38,17,85,0.094
zzzzzzzz,1,BierTreber,68,Straw,92,Hemp,209,Straw,75,Rapstraw,284,cellulose,CaSO4,CaSO4,0.37,1,21,0.6210772024828288,23,500,Hot-Pressed,85,31,41,70,0.022
xxxxx,1,Oatmeal,72,Hemp,57,Biertreber,262,Rapstraw,99,Biertreber,237,CaCO,CaSO4,CaCO,0.32,1,21,0.9168194570886414,18,3000,Non-Pressed,80,12,65,70,0.031
yyyyyyy,1,Bulgur,82,Rapstraw,76,Vegiplants,255,Rapstraw,62,Rapstraw,270,cellulose,cellulose,CaCO,0.38,1,22,0.7317668441557235,7,1000,Non-Pressed,70,28,65,70,0.026
zzzzzzzz,1,BierTreber,53,Hemp,91,Biertreber,227,Straw,76,Rapstraw,202,CaSO4,CaSO4,CaSO4,0.31,1,27,0.8006890135929445,24,500,Non-Pressed,85,57,29,70,0.059
zzzzzzzz,1,Buckwheat,84,Grass,99,Straw,273,Grass,76,Straw,224,cellulose,CaSO4,cellulose,0.57,1,23,0.6568040959250702,15,1000,Cold-Pressed,85,51,29,75,0.096
xxxxx,1,Oatmeal,69,Hemp,58,Biertreber,236,Biertreber,78,Rapstraw,224,CaCO,CaCO,cellulose,0.34,0,26,0.8332211844991988,16,1000,Hot-Pressed,75,14,41,75,0.018
xxxxx,1,Bulgur,84,Vegiplants,91,Straw,286,Straw,87,Grass,290,CaCO,CaSO4,CaSO4,0.43,0,23,0.6674303463343761,21,2000,Hot-Pressed,70,31,17,85,0.031
yyyyyyy,0,Bulgur,62,Vegiplants,71,Hemp,257,Straw,78,Hemp,210,CaCO,cellulose,cellulose,0.35,0,19,0.9129753219351152,6,3000,Non-Pressed,85,58,5,85,0.028
zzzzzzzz,1,Buckwheat,74,Rapstraw,84,Grass,251,Rapstraw,54,Rapstraw,249,CaSO4,cellulose,CaCO,0.44,0,21,0.786968412596233,8,1500,Hot-Pressed,70,31,17,70,0.026
yyyyyyy,1,Oatmeal,80,Rapstraw,96,Sawdust,261,Biertreber,68,Grass,223,CaSO4,CaCO,cellulose,0.46,0,19,0.8388772934005506,19,1000,Cold-Pressed,80,15,29,75,0.058
xxxxx,1,Buckwheat,61,Straw,84,Biertreber,277,Rapstraw,50,Sawdust,246,CaSO4,CaSO4,cellulose,0.39,1,21,0.7578184738448552,6,1000,Hot-Pressed,85,28,5,80,0.028
xxxxx,0,BierTreber,59,Hemp,92,Grass,296,Rapstraw,59,Vegiplants,258,cellulose,cellulose,cellulose,0.45,0,19,0.9391413888094016,16,2500,Non-Pressed,70,35,53,75,0.092
zzzzzzzz,1,Buckwheat,53,Grass,68,Vegiplants,292,Grass,92,Straw,259,cellulose,cellulose,CaSO4,0.49,1,25,0.8783347683213746,10,3000,Hot-Pressed,85,48,53,80,0.002
yyyyyyy,1,Buckwheat,94,Hemp,92,Straw,254,Vegiplants,63,Vegiplants,270,cellulose,cellulose,cellulose,0.34,1,18,0.8745284333985246,13,3500,Hot-Pressed,70,43,17,80,0.008
yyyyyyy,0,Bulgur,91,Biertreber,95,Straw,257,Sawdust,57,Rapstraw,234,CaCO,cellulose,cellulose,0.39,0,26,0.8166868956401444,15,1000,Hot-Pressed,80,40,53,70,0.043
zzzzzzzz,0,Bulgur,63,Rapstraw,69,Straw,252,Sawdust,51,Sawdust,251,cellulose,cellulose,CaCO,0.5,1,26,0.7003696198505405,5,2500,Hot-Pressed,70,48,29,80,0.003
xxxxx,1,Barley,88,Hemp,59,Straw,241,Sawdust,75,Sawdust,228,CaSO4,cellulose,cellulose,0.58,0,18,0.8885982105624675,20,500,Cold-Pressed,75,30,53,80,0.087
xxxxx,0,BierTreber,64,Rapstraw,66,Hemp,234,Rapstraw,99,Vegiplants,214,CaSO4,CaCO,CaCO,0.45,1,24,0.8773809661394237,5,1500,Cold-Pressed,75,62,65,80,0.002
xxxxx,1,Buckwheat,67,Vegiplants,87,Hemp,263,Biertreber,55,Straw,263,CaSO4,CaSO4,CaCO,0.37,1,21,0.808335717071407,8,4500,Cold-Pressed,80,48,41,85,0.071
yyyyyyy,0,BierTreber,66,Hemp,89,Straw,247,Vegiplants,75,Rapstraw,288,CaSO4,CaSO4,CaSO4,0.58,0,25,0.8873171595526725,10,2500,Hot-Pressed,85,46,17,85,0.037
xxxxx,1,BierTreber,54,Sawdust,62,Grass,262,Grass,78,Sawdust,222,cellulose,cellulose,CaSO4,0.49,1,23,0.8307941620359195,15,3500,Non-Pressed,70,20,5,75,0.062
xxxxx,1,Buckwheat,100,Sawdust,75,Grass,265,Vegiplants,99,Grass,262,cellulose,CaCO,CaCO,0.37,0,28,0.6882817153760452,12,4500,Cold-Pressed,75,72,29,75,0.064
zzzzzzzz,1,Buckwheat,76,Rapstraw,94,Rapstraw,288,Grass,66,Hemp,255,CaCO,CaSO4,CaCO,0.5,0,18,0.649777129871144,14,3000,Cold-Pressed,70,75,65,80,0.026
yyyyyyy,1,Bulgur,59,Straw,93,Vegiplants,226,Straw,50,Grass,241,cellulose,cellulose,CaCO,0.49,0,21,0.6783479160806557,8,3500,Cold-Pressed,75,56,53,85,0.096
xxxxx,1,Buckwheat,61,Vegiplants,60,Grass,253,Straw,56,Biertreber,206,CaCO,CaCO,CaCO,0.41,1,25,0.8697421463528213,6,1500,Non-Pressed,75,70,65,75,0.097
yyyyyyy,1,Oatmeal,60,Sawdust,55,Hemp,294,Straw,76,Biertreber,258,cellulose,CaSO4,CaCO,0.35,1,23,0.6403015461845272,11,2000,Cold-Pressed,80,60,17,75,0.015
xxxxx,1,BierTreber,95,Grass,84,Straw,273,Rapstraw,60,Grass,270,CaCO,CaCO,cellulose,0.55,1,18,0.832993410151514,22,2000,Cold-Pressed,70,74,65,75,0.024
xxxxx,0,Bulgur,99,Biertreber,77,Biertreber,286,Vegiplants,78,Biertreber,222,cellulose,cellulose,CaCO,0.58,0,18,0.6665305571367433,11,1500,Non-Pressed,70,30,65,75,0.066
xxxxx,0,Barley,97,Biertreber,79,Biertreber,206,Rapstraw,63,Rapstraw,249,CaSO4,CaSO4,CaSO4,0.41,1,24,0.8711024294934644,19,1500,Non-Pressed,80,68,5,70,0.097
xxxxx,1,Oatmeal,76,Hemp,91,Vegiplants,282,Rapstraw,81,Straw,287,CaCO,CaSO4,CaSO4,0.41,1,27,0.7341456007300399,6,2000,Non-Pressed,80,73,17,85,0.002
zzzzzzzz,0,Bulgur,79,Straw,76,Grass,250,Grass,65,Sawdust,292,CaCO,CaSO4,cellulose,0.49,0,28,0.6955030991017478,19,2500,Cold-Pressed,70,59,41,80,0.059
yyyyyyy,0,Buckwheat,70,Sawdust,67,Straw,257,Rapstraw,69,Straw,274,cellulose,cellulose,CaCO,0.49,1,20,0.944651151558066,15,500,Non-Pressed,85,50,5,70,0.085
xxxxx,0,Oatmeal,91,Biertreber,69,Vegiplants,298,Sawdust,78,Grass,228,cellulose,cellulose,CaSO4,0.47,1,20,0.8631798203099081,25,2500,Hot-Pressed,85,53,65,85,0.068
xxxxx,1,Bulgur,90,Rapstraw,84,Hemp,205,Rapstraw,54,Grass,253,cellulose,cellulose,CaCO,0.35,0,26,0.7874481548514045,10,3000,Hot-Pressed,80,72,17,85,0.002
xxxxx,0,Buckwheat,56,Straw,67,Hemp,236,Straw,85,Vegiplants,233,cellulose,CaSO4,CaCO,0.52,1,27,0.7388865556889955,17,1000,Non-Pressed,80,36,53,85,0.079
zzzzzzzz,1,Oatmeal,74,Grass,79,Rapstraw,272,Vegiplants,97,Vegiplants,267,CaSO4,cellulose,CaSO4,0.53,1,22,0.7800607556079077,25,2500,Cold-Pressed,80,63,5,70,0.071
zzzzzzzz,0,BierTreber,93,Biertreber,92,Vegiplants,279,Straw,95,Biertreber,207,CaSO4,cellulose,cellulose,0.56,1,26,0.6076798758835282,9,1500,Non-Pressed,85,14,41,70,0.011
yyyyyyy,0,Bulgur,54,Biertreber,94,Grass,278,Vegiplants,74,Hemp,278,CaCO,cellulose,CaCO,0.3,1,18,0.8167902856658672,21,1000,Non-Pressed,75,25,41,75,0.029
yyyyyyy,0,Buckwheat,65,Grass,90,Grass,292,Grass,91,Biertreber,245,cellulose,cellulose,CaCO,0.59,0,22,0.6149151412475604,16,1000,Cold-Pressed,80,42,65,80,0.074
zzzzzzzz,1,Bulgur,81,Hemp,98,Vegiplants,256,Hemp,56,Sawdust,272,CaCO,cellulose,cellulose,0.53,0,25,0.6296516071170546,20,4500,Hot-Pressed,75,27,17,75,0.006
yyyyyyy,1,Buckwheat,65,Rapstraw,61,Sawdust,254,Biertreber,74,Straw,240,CaCO,cellulose,CaCO,0.35,0,27,0.7309925177458233,16,2500,Non-Pressed,80,41,5,70,0.005
yyyyyyy,0,Barley,84,Hemp,65,Biertreber,253,Rapstraw,89,Biertreber,256,cellulose,CaSO4,CaSO4,0.56,1,18,0.7634981885528067,20,500,Non-Pressed,75,18,17,75,0.037
zzzzzzzz,0,Barley,52,Rapstraw,86,Biertreber,246,Grass,56,Straw,219,CaSO4,CaCO,cellulose,0.41,0,27,0.6632834755630331,22,4500,Non-Pressed,70,33,5,80,0.071
zzzzzzzz,0,Barley,58,Straw,70,Rapstraw,296,Biertreber,69,Hemp,220,CaSO4,cellulose,CaCO,0.55,1,25,0.8228517718473708,21,1000,Hot-Pressed,75,79,41,75,0.006
zzzzzzzz,0,Barley,68,Grass,64,Rapstraw,208,Hemp,63,Sawdust,200,CaSO4,CaSO4,CaCO,0.44,1,28,0.7994012790681364,16,1500,Hot-Pressed,85,69,53,75,0.018
yyyyyyy,0,Bulgur,86,Straw,72,Grass,255,Biertreber,62,Straw,244,CaSO4,CaCO,CaCO,0.34,1,21,0.9204196479190561,17,2500,Non-Pressed,75,33,5,70,0.004
xxxxx,0,Bulgur,67,Grass,70,Hemp,213,Grass,67,Grass,204,CaSO4,CaSO4,CaCO,0.51,0,21,0.7745669813053884,20,500,Non-Pressed,70,64,41,70,0.079
xxxxx,1,Barley,100,Rapstraw,64,Biertreber,257,Rapstraw,83,Biertreber,267,cellulose,CaSO4,CaSO4,0.5,0,21,0.6711979258424244,12,1500,Non-Pressed,70,61,65,70,0.088
