strains,gene_edit,spawn_type,spawn_weight,substrate_1,substrate_weight_1,substrate_2,substrate_weight_2,substrate_3,substrate_weight_3,substrate_4,substrate_weight_4,additive_1,additive_weight_1,additive_2,additive_weight_2,additive_3,additive_weight_3,water_absorption,bacteria,Temp_Growtent,Humidity_Growtent,Time_Growtent,CO2_conc,Press_type,Temp_Press,Force_Press,Time_Ovendrying,Temp_Ovendrying,Vacc_Overdrying
zzzzzzzz,0,Oatmeal,93,Vegiplants,262.0,Hemp,5.0,Hemp,285.0,Biertreber,349.0,CaSO4,206.0,CaCO,489.0,CaCO,206.0,0.44,1,24,0.75,19,4000,Cold-Pressed,75,66,29,70,0.049
zzzzzzzz,1,BierTreber,79,Hemp,252.0,Rapstraw,174.0,Straw,245.0,Grass,228.0,CaCO,240.0,CaCO,283.0,cellulose,377.0,0.35,1,20,0.62,9,4500,Cold-Pressed,85,75,17,75,0.077
zzzzzzzz,1,BierTreber,72,Grass,21.0,Sawdust,73.0,Straw,408.0,Biertreber,398.0,cellulose,197.0,CaCO,418.0,CaSO4,285.0,0.42,1,24,0.92,16,3000,Cold-Pressed,70,65,29,80,0.084
xxxxx,0,Buckwheat,87,Sawdust,88.0,Grass,217.0,Rapstraw,266.0,Sawdust,329.0,cellulose,276.0,CaCO,270.0,cellulose,354.0,0.4,1,20,0.86,24,1000,Hot-Pressed,70,69,29,75,0.053
zzzzzzzz,1,Bulgur,97,Biertreber,293.0,Biertreber,282.0,Hemp,288.0,Grass,37.0,CaSO4,200.0,CaCO,525.0,CaCO,175.0,0.56,1,19,0.73,5,4000,Non-Pressed,80,72,65,85,0.025
zzzzzzzz,1,Barley,80,Sawdust,209.0,Sawdust,261.0,Biertreber,162.0,Sawdust,269.0,CaSO4,285.0,cellulose,291.0,CaCO,324.0,0.54,0,28,0.65,16,3500,Hot-Pressed,80,69,17,80,0.035
zzzzzzzz,0,Buckwheat,57,Rapstraw,217.0,Vegiplants,251.0,Grass,257.0,Grass,174.0,CaSO4,650.0,CaSO4,18.0,CaSO4,232.0,0.42,0,27,0.73,23,4000,Hot-Pressed,70,25,17,70,0.04
zzzzzzzz,1,Buckwheat,72,Sawdust,17.0,Grass,207.0,Rapstraw,363.0,Sawdust,313.0,cellulose,308.0,CaCO,559.0,cellulose,32.0,0.47,0,26,0.78,17,4500,Hot-Pressed,80,47,29,85,0.096
zzzzzzzz,0,Bulgur,64,Biertreber,296.0,Vegiplants,19.0,Sawdust,386.0,Hemp,199.0,CaSO4,373.0,CaCO,259.0,CaCO,267.0,0.33,0,18,0.74,9,2000,Hot-Pressed,70,31,65,85,0.081
xxxxx,0,Oatmeal,54,Rapstraw,376.0,Grass,46.0,Biertreber,148.0,Grass,330.0,CaCO,161.0,CaSO4,430.0,CaCO,309.0,0.38,0,26,0.63,19,4000,Non-Pressed,80,53,17,80,0.017
zzzzzzzz,0,BierTreber,52,Straw,271.0,Sawdust,89.0,Grass,223.0,Straw,316.0,CaCO,69.0,CaSO4,397.0,CaSO4,434.0,0.35,0,23,0.89,14,2500,Hot-Pressed,80,27,65,85,0.025
xxxxx,1,Bulgur,52,Straw,18.0,Sawdust,195.0,Biertreber,486.0,Vegiplants,201.0,CaCO,368.0,CaSO4,68.0,cellulose,465.0,0.48,1,25,0.78,14,1500,Hot-Pressed,85,24,5,80,0.069
zzzzzzzz,0,Buckwheat,63,Vegiplants,0.0,Grass,424.0,Biertreber,151.0,Hemp,325.0,cellulose,255.0,CaCO,241.0,cellulose,404.0,0.46,1,22,0.78,11,500,Hot-Pressed,85,77,29,80,0.031
zzzzzzzz,1,Buckwheat,59,Biertreber,88.0,Rapstraw,432.0,Hemp,140.0,Rapstraw,240.0,CaCO,469.0,CaCO,203.0,CaCO,227.0,0.46,0,20,0.76,8,2000,Cold-Pressed,70,60,17,80,0.081
yyyyyyy,0,Buckwheat,94,Rapstraw,415.0,Sawdust,74.0,Grass,69.0,Grass,341.0,cellulose,155.0,CaCO,218.0,CaSO4,527.0,0.41,0,19,0.6,7,1000,Hot-Pressed,85,44,29,70,0.084
xxxxx,1,Barley,70,Biertreber,93.0,Sawdust,286.0,Sawdust,267.0,Biertreber,255.0,cellulose,406.0,cellulose,213.0,CaCO,281.0,0.43,1,26,0.68,9,1500,Non-Pressed,85,11,17,85,0.098
zzzzzzzz,0,Oatmeal,98,Straw,314.0,Rapstraw,236.0,Vegiplants,118.0,Rapstraw,232.0,CaCO,505.0,cellulose,298.0,cellulose,97.0,0.59,1,24,0.68,12,3000,Non-Pressed,80,28,5,85,0.076
xxxxx,1,Oatmeal,97,Rapstraw,144.0,Vegiplants,273.0,Grass,288.0,Straw,194.0,CaSO4,416.0,cellulose,361.0,cellulose,123.0,0.36,0,21,0.8,19,3000,Cold-Pressed,75,38,41,80,0.071
xxxxx,0,BierTreber,57,Straw,213.0,Hemp,146.0,Vegiplants,359.0,Sawdust,182.0,cellulose,173.0,cellulose,572.0,CaSO4,155.0,0.58,0,22,0.68,22,2500,Cold-Pressed,80,77,17,70,0.069
yyyyyyy,1,Buckwheat,64,Grass,57.0,Straw,269.0,Vegiplants,346.0,Rapstraw,228.0,CaCO,568.0,cellulose,249.0,CaSO4,83.0,0.56,1,25,0.85,11,4000,Hot-Pressed,80,15,53,75,0.065
zzzzzzzz,0,Buckwheat,53,Sawdust,379.0,Vegiplants,16.0,Biertreber,26.0,Straw,479.0,cellulose,477.0,CaCO,206.0,cellulose,217.0,0.59,1,22,0.89,15,3000,Non-Pressed,70,80,41,80,0.056
yyyyyyy,1,Oatmeal,59,Rapstraw,205.0,Rapstraw,393.0,Grass,293.0,Rapstraw,9.0,cellulose,591.0,cellulose,176.0,CaCO,132.0,0.57,0,24,0.73,12,3500,Hot-Pressed,70,11,53,85,0.032
yyyyyyy,0,Barley,89,Straw,286.0,Rapstraw,278.0,Hemp,210.0,Biertreber,126.0,CaCO,355.0,cellulose,154.0,CaSO4,391.0,0.59,1,26,0.71,20,2000,Cold-Pressed,80,79,5,85,0.062
zzzzzzzz,1,Buckwheat,97,Sawdust,220.0,Vegiplants,155.0,Hemp,292.0,Biertreber,233.0,CaSO4,562.0,CaSO4,270.0,cellulose,68.0,0.42,1,27,0.72,12,4500,Cold-Pressed,80,22,17,75,0.069
zzzzzzzz,0,Buckwheat,64,Hemp,275.0,Sawdust,172.0,Biertreber,17.0,Grass,436.0,CaSO4,619.0,cellulose,91.0,CaCO,190.0,0.35,1,27,0.85,15,4000,Hot-Pressed,80,61,5,85,0.03
xxxxx,1,Oatmeal,87,Rapstraw,352.0,Straw,39.0,Hemp,313.0,Biertreber,196.0,cellulose,509.0,cellulose,274.0,CaCO,117.0,0.31,0,24,0.86,25,3500,Non-Pressed,80,68,5,85,0.095
yyyyyyy,1,Bulgur,99,Rapstraw,214.0,Vegiplants,287.0,Vegiplants,287.0,Biertreber,112.0,CaCO,442.0,cellulose,107.0,CaSO4,351.0,0.41,0,21,0.81,18,3500,Hot-Pressed,70,75,5,70,0.075
xxxxx,0,Oatmeal,82,Biertreber,237.0,Biertreber,363.0,Hemp,209.0,Rapstraw,91.0,CaSO4,377.0,CaSO4,141.0,cellulose,382.0,0.43,0,21,0.77,19,3000,Hot-Pressed,75,27,65,70,0.065
zzzzzzzz,1,BierTreber,85,Rapstraw,83.0,Vegiplants,479.0,Straw,21.0,Straw,317.0,cellulose,152.0,CaSO4,437.0,cellulose,311.0,0.33,1,28,0.63,16,3500,Non-Pressed,85,43,17,70,0.081
yyyyyyy,0,Bulgur,78,Sawdust,410.0,Hemp,216.0,Grass,122.0,Grass,151.0,cellulose,393.0,CaCO,353.0,CaSO4,153.0,0.45,0,28,0.89,15,2500,Cold-Pressed,70,21,41,70,0.024
zzzzzzzz,0,BierTreber,67,Straw,126.0,Biertreber,508.0,Biertreber,16.0,Sawdust,251.0,cellulose,14.0,CaCO,470.0,CaCO,416.0,0.32,0,26,0.94,16,3500,Non-Pressed,70,47,53,85,0.02
zzzzzzzz,1,Bulgur,61,Sawdust,176.0,Biertreber,4.0,Hemp,348.0,Rapstraw,372.0,CaCO,171.0,cellulose,348.0,CaSO4,381.0,0.5,0,21,0.64,22,3500,Cold-Pressed,75,80,65,80,0.075
zzzzzzzz,1,Buckwheat,96,Straw,236.0,Vegiplants,221.0,Sawdust,218.0,Rapstraw,226.0,CaCO,244.0,cellulose,350.0,cellulose,305.0,0.37,0,18,0.69,22,3000,Cold-Pressed,85,76,5,80,0.06
yyyyyyy,0,Barley,87,Rapstraw,107.0,Rapstraw,292.0,Biertreber,459.0,Rapstraw,42.0,cellulose,441.0,cellulose,267.0,cellulose,192.0,0.47,1,26,0.68,22,4500,Cold-Pressed,70,44,17,75,0.096
yyyyyyy,0,Oatmeal,70,Biertreber,551.0,Sawdust,135.0,Sawdust,169.0,Vegiplants,45.0,CaCO,319.0,cellulose,383.0,CaSO4,198.0,0.51,0,20,0.69,8,1000,Cold-Pressed,85,69,17,80,0.019
zzzzzzzz,1,Buckwheat,71,Hemp,126.0,Grass,256.0,Vegiplants,303.0,Rapstraw,215.0,CaCO,6.0,cellulose,439.0,CaSO4,456.0,0.54,0,22,0.69,7,3500,Non-Pressed,80,34,53,75,0.001
yyyyyyy,0,Bulgur,82,Straw,223.0,Biertreber,227.0,Sawdust,274.0,Sawdust,176.0,CaSO4,233.0,CaSO4,218.0,CaCO,450.0,0.33,1,27,0.75,6,3000,Cold-Pressed,80,38,53,75,0.058
zzzzzzzz,0,Buckwheat,68,Grass,273.0,Straw,174.0,Biertreber,283.0,Straw,170.0,CaCO,188.0,cellulose,322.0,CaCO,390.0,0.43,0,27,0.64,7,4000,Non-Pressed,85,39,29,75,0.045
yyyyyyy,1,BierTreber,71,Straw,168.0,Straw,177.0,Straw,319.0,Sawdust,237.0,CaCO,303.0,cellulose,188.0,cellulose,409.0,0.42,1,20,0.94,14,4000,Non-Pressed,75,69,53,85,0.047
xxxxx,0,Barley,84,Vegiplants,210.0,Vegiplants,80.0,Biertreber,325.0,Rapstraw,285.0,CaCO,296.0,CaCO,354.0,CaSO4,251.0,0.59,1,19,0.84,14,1000,Non-Pressed,75,10,29,75,0.067
xxxxx,1,BierTreber,63,Hemp,193.0,Sawdust,255.0,Hemp,209.0,Rapstraw,242.0,cellulose,502.0,CaSO4,312.0,cellulose,86.0,0.36,0,20,0.85,24,4000,Hot-Pressed,85,79,29,75,0.018
zzzzzzzz,1,Barley,74,Sawdust,270.0,Hemp,207.0,Sawdust,117.0,Rapstraw,307.0,CaCO,525.0,cellulose,173.0,CaSO4,201.0,0.59,1,21,0.7,9,1500,Hot-Pressed,85,24,29,75,0.091
yyyyyyy,0,Buckwheat,90,Vegiplants,286.0,Straw,61.0,Hemp,275.0,Vegiplants,278.0,cellulose,93.0,cellulose,690.0,CaCO,118.0,0.33,0,18,0.83,9,2000,Hot-Pressed,85,35,17,75,0.04
zzzzzzzz,0,Barley,57,Rapstraw,274.0,Grass,158.0,Biertreber,292.0,Rapstraw,176.0,CaSO4,317.0,cellulose,211.0,cellulose,372.0,0.34,0,23,0.66,10,4500,Cold-Pressed,85,41,29,70,0.017
xxxxx,0,Barley,82,Rapstraw,387.0,Vegiplants,285.0,Grass,120.0,Straw,108.0,CaSO4,697.0,cellulose,13.0,CaSO4,190.0,0.51,1,28,0.91,6,4000,Non-Pressed,85,44,5,70,0.064
yyyyyyy,1,Buckwheat,96,Straw,65.0,Straw,243.0,Straw,272.0,Rapstraw,319.0,CaSO4,330.0,CaCO,184.0,CaCO,386.0,0.46,1,19,0.74,5,4000,Hot-Pressed,75,71,5,85,0.098
yyyyyyy,0,Bulgur,55,Sawdust,49.0,Vegiplants,288.0,Vegiplants,288.0,Rapstraw,276.0,CaCO,25.0,CaSO4,450.0,CaCO,425.0,0.54,0,26,0.95,5,4000,Non-Pressed,80,56,53,70,0.097
yyyyyyy,0,BierTreber,86,Vegiplants,380.0,Biertreber,16.0,Straw,295.0,Biertreber,209.0,CaCO,172.0,CaCO,369.0,CaSO4,359.0,0.41,0,25,0.6,5,3000,Hot-Pressed,85,65,29,80,0.014
xxxxx,0,BierTreber,64,Rapstraw,50.0,Sawdust,264.0,Hemp,304.0,Straw,282.0,CaSO4,254.0,cellulose,363.0,cellulose,283.0,0.6,0,26,0.65,23,1000,Non-Pressed,70,35,29,75,0.052
yyyyyyy,0,BierTreber,68,Biertreber,34.0,Hemp,131.0,Straw,398.0,Grass,337.0,CaCO,573.0,cellulose,44.0,CaCO,283.0,0.45,0,27,0.86,15,4000,Non-Pressed,85,30,29,70,0.048
yyyyyyy,0,Buckwheat,77,Rapstraw,67.0,Hemp,300.0,Sawdust,133.0,Rapstraw,400.0,CaCO,296.0,CaCO,284.0,CaSO4,320.0,0.59,1,28,0.74,21,1500,Cold-Pressed,70,73,53,85,0.008
zzzzzzzz,0,Buckwheat,52,Straw,195.0,Biertreber,338.0,Sawdust,312.0,Straw,56.0,cellulose,7.0,cellulose,419.0,CaSO4,474.0,0.57,0,20,0.91,23,3000,Hot-Pressed,75,47,53,75,0.019
yyyyyyy,1,Barley,53,Sawdust,213.0,Grass,144.0,Rapstraw,327.0,Biertreber,216.0,CaSO4,335.0,CaCO,328.0,cellulose,237.0,0.36,1,19,0.63,13,3000,Non-Pressed,70,40,17,75,0.072
zzzzzzzz,0,Barley,90,Straw,154.0,Sawdust,335.0,Biertreber,226.0,Straw,185.0,CaCO,542.0,CaCO,83.0,cellulose,275.0,0.55,0,26,0.92,9,3500,Cold-Pressed,75,10,41,80,0.066
xxxxx,0,Buckwheat,85,Hemp,114.0,Biertreber,36.0,Rapstraw,534.0,Biertreber,216.0,cellulose,201.0,CaSO4,458.0,cellulose,241.0,0.58,0,18,0.79,24,1000,Cold-Pressed,80,76,53,70,0.047
xxxxx,1,Oatmeal,82,Hemp,159.0,Grass,92.0,Biertreber,378.0,Biertreber,271.0,CaSO4,499.0,cellulose,103.0,cellulose,298.0,0.38,0,23,0.68,20,3500,Cold-Pressed,70,34,5,80,0.044
yyyyyyy,0,Bulgur,72,Grass,289.0,Hemp,257.0,Hemp,45.0,Hemp,310.0,cellulose,23.0,CaCO,173.0,cellulose,704.0,0.44,0,18,0.66,5,2500,Non-Pressed,80,66,41,75,0.034
zzzzzzzz,1,Bulgur,92,Rapstraw,101.0,Sawdust,256.0,Straw,288.0,Rapstraw,256.0,CaCO,188.0,cellulose,0.0,cellulose,712.0,0.56,0,28,0.92,12,1000,Non-Pressed,85,46,5,85,0.033
yyyyyyy,0,BierTreber,59,Grass,261.0,Biertreber,227.0,Hemp,368.0,Biertreber,44.0,CaSO4,292.0,cellulose,232.0,CaSO4,376.0,0.33,0,28,0.63,17,2500,Hot-Pressed,85,13,29,80,0.076
yyyyyyy,0,Oatmeal,57,Sawdust,141.0,Grass,438.0,Grass,313.0,Sawdust,8.0,cellulose,269.0,cellulose,463.0,CaSO4,168.0,0.32,1,22,0.93,20,3500,Cold-Pressed,85,48,17,75,0.086
yyyyyyy,1,Bulgur,82,Grass,257.0,Straw,303.0,Biertreber,87.0,Hemp,253.0,cellulose,394.0,CaSO4,320.0,CaCO,186.0,0.33,0,20,0.87,22,3500,Hot-Pressed,75,51,5,70,0.094
xxxxx,0,Bulgur,73,Biertreber,280.0,Sawdust,312.0,Hemp,161.0,Grass,147.0,CaCO,498.0,CaSO4,362.0,cellulose,40.0,0.47,0,27,0.67,21,1000,Hot-Pressed,70,49,41,80,0.057
zzzzzzzz,0,Bulgur,78,Sawdust,231.0,Grass,258.0,Grass,115.0,Vegiplants,296.0,CaSO4,278.0,cellulose,328.0,CaSO4,293.0,0.56,1,25,0.8,13,3000,Hot-Pressed,85,74,41,85,0.097
yyyyyyy,0,BierTreber,85,Hemp,90.0,Straw,339.0,Straw,240.0,Vegiplants,231.0,CaSO4,443.0,CaSO4,141.0,CaSO4,316.0,0.41,1,21,0.71,8,2000,Hot-Pressed,80,53,65,75,0.053
xxxxx,1,Buckwheat,76,Sawdust,197.0,Rapstraw,241.0,Sawdust,89.0,Rapstraw,374.0,cellulose,225.0,CaCO,302.0,cellulose,373.0,0.31,1,23,0.81,16,2500,Hot-Pressed,85,62,53,70,0.017
xxxxx,1,Buckwheat,52,Rapstraw,234.0,Grass,155.0,Vegiplants,246.0,Grass,266.0,CaSO4,295.0,cellulose,471.0,cellulose,134.0,0.35,0,20,0.83,5,3000,Cold-Pressed,80,37,29,70,0.06
xxxxx,0,BierTreber,80,Sawdust,169.0,Vegiplants,496.0,Straw,10.0,Biertreber,225.0,CaSO4,111.0,CaCO,468.0,CaSO4,321.0,0.42,0,26,0.6,8,2000,Non-Pressed,70,80,65,75,0.067
xxxxx,1,Bulgur,52,Biertreber,40.0,Sawdust,167.0,Grass,422.0,Rapstraw,271.0,CaCO,228.0,cellulose,305.0,cellulose,367.0,0.33,1,20,0.91,10,1500,Hot-Pressed,80,76,41,75,0.074
zzzzzzzz,0,BierTreber,67,Rapstraw,125.0,Hemp,106.0,Biertreber,294.0,Straw,375.0,cellulose,494.0,CaSO4,8.0,CaSO4,398.0,0.37,0,23,0.77,10,3500,Cold-Pressed,75,16,65,85,0.059
xxxxx,1,Buckwheat,94,Straw,5.0,Biertreber,397.0,Sawdust,178.0,Grass,320.0,CaCO,437.0,cellulose,370.0,CaCO,93.0,0.32,1,19,0.78,18,2500,Cold-Pressed,70,70,41,80,0.078
zzzzzzzz,0,Buckwheat,100,Sawdust,116.0,Sawdust,324.0,Rapstraw,201.0,Sawdust,259.0,CaCO,344.0,CaCO,278.0,CaSO4,278.0,0.55,1,20,0.94,6,1500,Cold-Pressed,85,57,65,75,0.036
yyyyyyy,1,Buckwheat,69,Straw,241.0,Vegiplants,119.0,Hemp,273.0,Biertreber,267.0,CaSO4,153.0,CaCO,434.0,cellulose,313.0,0.44,0,24,0.95,14,3000,Non-Pressed,85,75,29,80,0.038
zzzzzzzz,0,Barley,56,Rapstraw,371.0,Sawdust,216.0,Grass,45.0,Biertreber,268.0,CaSO4,482.0,CaCO,297.0,CaCO,121.0,0.4,1,26,0.79,20,2000,Hot-Pressed,75,29,17,80,0.077
zzzzzzzz,0,BierTreber,64,Sawdust,140.0,Biertreber,360.0,Sawdust,180.0,Sawdust,220.0,cellulose,144.0,CaSO4,632.0,CaCO,124.0,0.39,1,25,0.82,8,4000,Cold-Pressed,70,24,5,80,0.053
xxxxx,1,BierTreber,82,Sawdust,379.0,Straw,192.0,Rapstraw,79.0,Biertreber,250.0,CaSO4,303.0,CaSO4,124.0,CaSO4,472.0,0.53,0,23,0.64,22,2500,Hot-Pressed,85,76,29,70,0.083
xxxxx,1,BierTreber,70,Vegiplants,305.0,Sawdust,429.0,Grass,124.0,Rapstraw,41.0,CaCO,313.0,CaCO,342.0,CaSO4,245.0,0.36,0,18,0.84,7,2000,Cold-Pressed,75,79,17,80,0.092
xxxxx,1,Oatmeal,83,Vegiplants,574.0,Sawdust,0.0,Vegiplants,306.0,Straw,19.0,CaCO,199.0,CaCO,163.0,CaCO,538.0,0.43,1,26,0.89,7,4000,Cold-Pressed,85,65,5,80,0.04
yyyyyyy,1,Bulgur,88,Rapstraw,450.0,Sawdust,51.0,Straw,240.0,Grass,160.0,CaSO4,499.0,CaCO,250.0,cellulose,151.0,0.35,1,27,0.69,5,1500,Hot-Pressed,85,21,17,70,0.06
zzzzzzzz,0,Barley,97,Grass,273.0,Rapstraw,262.0,Grass,273.0,Biertreber,91.0,CaSO4,447.0,cellulose,348.0,cellulose,105.0,0.51,1,26,0.89,13,3500,Hot-Pressed,80,75,53,70,0.098
zzzzzzzz,0,Buckwheat,73,Straw,313.0,Biertreber,20.0,Hemp,186.0,Sawdust,381.0,cellulose,6.0,cellulose,321.0,CaSO4,573.0,0.59,1,21,0.81,21,1000,Non-Pressed,70,71,17,80,0.061
xxxxx,1,Oatmeal,78,Grass,353.0,Biertreber,462.0,Straw,35.0,Vegiplants,50.0,cellulose,287.0,CaSO4,560.0,CaCO,53.0,0.44,1,26,0.7,10,4000,Hot-Pressed,70,10,53,75,0.064
xxxxx,0,BierTreber,67,Rapstraw,262.0,Hemp,345.0,Biertreber,236.0,Vegiplants,57.0,cellulose,368.0,CaSO4,266.0,CaSO4,266.0,0.59,1,28,0.86,16,500,Cold-Pressed,80,22,29,75,0.033
zzzzzzzz,0,Oatmeal,78,Straw,35.0,Straw,177.0,Sawdust,288.0,Vegiplants,399.0,cellulose,441.0,CaSO4,37.0,cellulose,422.0,0.59,0,19,0.93,17,4000,Hot-Pressed,80,64,65,85,0.037
xxxxx,0,Oatmeal,61,Sawdust,173.0,Grass,181.0,Sawdust,253.0,Rapstraw,293.0,CaSO4,89.0,CaSO4,408.0,CaSO4,403.0,0.42,1,20,0.93,15,2000,Non-Pressed,85,61,53,80,0.056
yyyyyyy,0,Buckwheat,50,Straw,245.0,Straw,293.0,Hemp,51.0,Rapstraw,311.0,CaSO4,280.0,cellulose,190.0,CaCO,430.0,0.35,0,26,0.79,22,3000,Hot-Pressed,85,55,65,70,0.081
xxxxx,0,Bulgur,78,Sawdust,320.0,Hemp,225.0,Biertreber,320.0,Rapstraw,34.0,cellulose,418.0,CaCO,78.0,CaCO,405.0,0.51,0,18,0.69,7,3000,Cold-Pressed,75,10,5,80,0.088
yyyyyyy,0,Oatmeal,95,Vegiplants,177.0,Vegiplants,228.0,Grass,270.0,Rapstraw,225.0,CaCO,106.0,cellulose,521.0,CaCO,274.0,0.42,1,26,0.73,24,3500,Hot-Pressed,85,70,53,85,0.053
yyyyyyy,0,BierTreber,59,Sawdust,275.0,Sawdust,237.0,Grass,237.0,Biertreber,150.0,CaSO4,395.0,CaCO,118.0,cellulose,387.0,0.35,1,24,0.7,22,2000,Non-Pressed,85,48,41,75,0.036
yyyyyyy,1,Bulgur,78,Biertreber,421.0,Straw,363.0,Hemp,72.0,Vegiplants,45.0,cellulose,221.0,CaCO,364.0,CaCO,316.0,0.53,0,23,0.75,25,500,Cold-Pressed,70,61,17,80,0.088
yyyyyyy,1,Oatmeal,89,Biertreber,327.0,Straw,331.0,Sawdust,45.0,Grass,196.0,CaCO,324.0,CaCO,71.0,cellulose,506.0,0.4,1,18,0.87,17,1500,Hot-Pressed,85,40,53,75,0.061
xxxxx,1,Bulgur,87,Sawdust,291.0,Vegiplants,66.0,Rapstraw,141.0,Straw,403.0,cellulose,210.0,CaSO4,38.0,CaCO,652.0,0.52,0,24,0.66,16,3500,Non-Pressed,80,39,5,70,0.097
zzzzzzzz,1,Buckwheat,75,Hemp,321.0,Sawdust,305.0,Vegiplants,32.0,Grass,242.0,CaSO4,358.0,CaCO,77.0,CaSO4,465.0,0.3,1,27,0.85,15,1000,Cold-Pressed,85,39,41,75,0.049
zzzzzzzz,0,Barley,97,Vegiplants,221.0,Vegiplants,119.0,Hemp,54.0,Rapstraw,507.0,CaCO,185.0,cellulose,504.0,CaSO4,211.0,0.42,0,24,0.81,23,4000,Non-Pressed,85,43,17,80,0.008
xxxxx,0,Bulgur,80,Vegiplants,193.0,Hemp,229.0,Straw,213.0,Sawdust,264.0,CaCO,190.0,CaSO4,314.0,cellulose,395.0,0.37,0,19,0.72,19,4500,Hot-Pressed,70,21,17,85,0.074
xxxxx,0,Oatmeal,50,Grass,293.0,Rapstraw,375.0,Rapstraw,143.0,Hemp,89.0,CaSO4,155.0,CaSO4,268.0,CaCO,477.0,0.33,1,20,0.71,25,4000,Cold-Pressed,80,56,53,80,0.07
zzzzzzzz,0,Oatmeal,63,Biertreber,184.0,Vegiplants,143.0,Sawdust,356.0,Hemp,218.0,cellulose,282.0,CaCO,526.0,CaCO,92.0,0.33,0,20,0.78,22,500,Non-Pressed,85,19,65,70,0.068
yyyyyyy,1,Buckwheat,69,Straw,369.0,Straw,87.0,Biertreber,344.0,Straw,100.0,CaCO,203.0,CaSO4,168.0,CaSO4,528.0,0.46,1,22,0.63,13,3000,Cold-Pressed,75,52,5,75,0.002
zzzzzzzz,0,Barley,92,Hemp,235.0,Vegiplants,176.0,Grass,176.0,Biertreber,312.0,cellulose,260.0,CaCO,79.0,cellulose,560.0,0.47,0,20,0.82,10,3500,Cold-Pressed,75,40,53,80,0.015
zzzzzzzz,1,Barley,95,Straw,60.0,Vegiplants,306.0,Grass,296.0,Hemp,239.0,CaCO,341.0,cellulose,327.0,CaCO,232.0,0.43,0,20,0.9,17,1000,Cold-Pressed,70,80,5,70,0.054
zzzzzzzz,0,Buckwheat,57,Hemp,187.0,Straw,444.0,Sawdust,23.0,Hemp,245.0,CaSO4,84.0,CaCO,696.0,cellulose,120.0,0.4,0,28,0.65,21,2000,Cold-Pressed,75,22,53,85,0.075
xxxxx,0,BierTreber,60,Grass,272.0,Rapstraw,228.0,Vegiplants,141.0,Grass,259.0,CaSO4,21.0,CaSO4,21.0,CaCO,858.0,0.41,0,26,0.83,23,4500,Cold-Pressed,70,41,65,75,0.01
zzzzzzzz,1,BierTreber,93,Biertreber,36.0,Sawdust,276.0,Grass,389.0,Straw,199.0,CaCO,210.0,CaCO,247.0,CaCO,443.0,0.46,0,27,0.73,12,1500,Hot-Pressed,85,73,53,80,0.054
zzzzzzzz,0,Buckwheat,54,Hemp,150.0,Sawdust,53.0,Biertreber,503.0,Grass,194.0,CaCO,143.0,CaCO,112.0,CaSO4,645.0,0.38,0,23,0.86,17,2000,Hot-Pressed,85,69,29,80,0.038
yyyyyyy,1,Barley,52,Sawdust,255.0,Grass,250.0,Sawdust,218.0,Sawdust,177.0,CaCO,302.0,CaCO,501.0,CaCO,97.0,0.52,1,20,0.74,19,2000,Hot-Pressed,80,70,53,70,0.074
xxxxx,0,Buckwheat,83,Vegiplants,78.0,Sawdust,292.0,Vegiplants,102.0,Straw,428.0,CaSO4,214.0,CaSO4,403.0,CaSO4,283.0,0.37,1,26,0.74,11,2500,Non-Pressed,75,21,65,70,0.046
zzzzzzzz,1,Bulgur,77,Grass,123.0,Rapstraw,240.0,Biertreber,497.0,Grass,41.0,CaSO4,98.0,CaSO4,425.0,cellulose,376.0,0.5,0,28,0.7,25,2500,Hot-Pressed,75,22,65,80,0.029
zzzzzzzz,0,Buckwheat,71,Vegiplants,145.0,Biertreber,285.0,Sawdust,271.0,Rapstraw,199.0,CaCO,84.0,cellulose,609.0,CaCO,206.0,0.47,0,20,0.82,7,2500,Hot-Pressed,85,40,17,75,0.03
zzzzzzzz,0,Bulgur,59,Straw,271.0,Straw,33.0,Sawdust,279.0,Vegiplants,317.0,CaSO4,552.0,cellulose,102.0,cellulose,246.0,0.59,0,24,0.6,24,1500,Cold-Pressed,75,13,65,85,0.095
zzzzzzzz,1,BierTreber,62,Grass,173.0,Straw,281.0,Vegiplants,238.0,Sawdust,209.0,CaCO,428.0,CaCO,98.0,CaSO4,374.0,0.49,0,21,0.61,8,2000,Cold-Pressed,80,52,5,70,0.097
yyyyyyy,0,Bulgur,72,Vegiplants,268.0,Sawdust,462.0,Sawdust,39.0,Vegiplants,131.0,cellulose,400.0,CaCO,320.0,CaCO,181.0,0.47,0,22,0.7,5,2000,Non-Pressed,70,77,29,75,0.001
zzzzzzzz,1,Buckwheat,97,Biertreber,262.0,Hemp,149.0,Vegiplants,344.0,Hemp,145.0,cellulose,162.0,cellulose,219.0,CaSO4,519.0,0.55,1,21,0.64,25,3500,Hot-Pressed,75,16,41,80,0.005
xxxxx,1,Buckwheat,96,Vegiplants,386.0,Hemp,186.0,Hemp,176.0,Grass,152.0,CaCO,302.0,cellulose,178.0,CaCO,420.0,0.37,0,21,0.93,17,3000,Non-Pressed,85,71,65,85,0.092
zzzzzzzz,0,Barley,82,Hemp,234.0,Sawdust,256.0,Hemp,176.0,Rapstraw,234.0,CaSO4,238.0,cellulose,265.0,CaCO,397.0,0.58,1,28,0.69,10,2000,Hot-Pressed,85,20,65,75,0.03
